Title,Author,Category
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,René Descartes,Science - General
The Complete Herbal,Nicholas Culpeper,Science - General
"De Re Metallica, Translated from the First Latin Edition of 1556",Georg Agricola,Science - General
A Course of Pure Mathematics,G. H. Hardy,Science - General
The Sailor's Word-Book,W. H. Smyth,Science - General
Philosophiae Naturalis Principia Mathematica (Latin),Isaac Newton,Science - General
Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott,Science - General
The First Six Books of the Elements of Euclid,John Casey and Euclid,Science - General
The Origin of Species by Means of Natural Selection,Charles Darwin,Science - General
The Earliest Arithmetics in English,Unregistered,Science - General
Timaeus,Plato,Science - General
Woodworking Tools 1600-1900,Peter C. Welsh,Science - General
One Hundred Proofs That the Earth Is Not a Globe,William Carpenter,Science - General
Relativity : the Special and General Theory,Albert Einstein,Science - General
"Scientific American Supplement, No. 433, April 19, 1884",Various,Science - General
"Rockets, Missiles, and Spacecraft of the National Air and Space Museum, Smithsonian Institution",Lynne C. Murphy,Science - General
"Scurvy, Past and Present",Alfred F. Hess,Science - General
How it Works,Archibald Williams,Science - General
"Scientific  American, Volume XXXVI., No. 8, February 24, 1877",Various,Science - General
Goethe's Theory of Colours,Johann Wolfgang von Goethe,Science - General
Aristotle's History of Animals,Aristotle,Science - General
"Scientific  American, Volume XXIV., No. 12,  March 18, 1871",Various,Science - General
An Introduction to Mathematics,Alfred North Whitehead,Science - General
On the Origin of Species By Means of Natural Selection,Charles Darwin,Science - Genetics/Biology/Evolution
The Origin of Species by Means of Natural Selection,Charles Darwin,Science - Genetics/Biology/Evolution
Aristotle's History of Animals,Aristotle,Science - Genetics/Biology/Evolution
On Growth and Form,D'Arcy Wentworth Thompson,Science - Genetics/Biology/Evolution
The Voyage of the Beagle,Charles Darwin,Science - Genetics/Biology/Evolution
"The Descent of Man, and Selection in Relation to Sex",Charles Darwin,Science - Genetics/Biology/Evolution
Micrographia,Robert Hooke,Science - Genetics/Biology/Evolution
On the Origin of Species by Means of Natural Selection,Charles Darwin,Science - Genetics/Biology/Evolution
Creative Evolution,Henri Bergson,Science - Genetics/Biology/Evolution
Explanation of Terms Used in Entomology,John Bernhard Smith,Science - Genetics/Biology/Evolution
Wild Flowers Worth Knowing,Neltje Blanchan,Science - Genetics/Biology/Evolution
Metabolic Adaptation to Climate and Distribution of the Raccoon Procyon Lotor and Other Procyonidae,"John N. Mugaas, John Seidensticker, and Kathleen P. Mahlke-Johnson",Science - Genetics/Biology/Evolution
"Vertebrates from the Barrier Island of Tamaulipas, México","Richard F. Johnston, Robert K. Selander, B. J. Wilks, and Gerald G. Raun",Science - Genetics/Biology/Evolution
"The Principles of Biology, Volume 1 (of 2)",Herbert Spencer,Science - Genetics/Biology/Evolution
The Nature of Animal Light,E. Newton Harvey,Science - Genetics/Biology/Evolution
An Elementary Study of Insects,Leonard Haseman,Science - Genetics/Biology/Evolution
"Neotropical Hylid Frogs, Genus Smilisca",William Edward Duellman and Linda Trueb,Science - Genetics/Biology/Evolution
Some Reptiles and Amphibians from Korea,"J. Knox Jones, Robert G. Webb, and George William Byers",Science - Genetics/Biology/Evolution
On the Origin of Species by Means of Natural Selection,Charles Darwin,Science - Genetics/Biology/Evolution
The Genetic Effects of Radiation,Isaac Asimov and Theodosius Dobzhansky,Science - Genetics/Biology/Evolution
"Zoonomia; Or, the Laws of Organic Life, Vol. I",Erasmus Darwin,Science - Genetics/Biology/Evolution
Evidence as to Man's Place in Nature,Thomas Henry Huxley,Science - Genetics/Biology/Evolution
The Evolution of Man,Ernst Haeckel,Science - Genetics/Biology/Evolution
Ideen zu einer Physiognomik der Gewächse (German),Alexander von Humboldt,Science - Genetics/Biology/Evolution
Sex-linked Inheritance in Drosophila,Thomas Hunt Morgan and Calvin B. Bridges,Science - Genetics/Biology/Evolution
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Science-Fiction & Fantasy
Dracula,Bram Stoker,Science-Fiction & Fantasy
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Science-Fiction & Fantasy
The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,Science-Fiction & Fantasy
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Science-Fiction & Fantasy
The Wonderful Wizard of Oz,L. Frank Baum,Science-Fiction & Fantasy
Le Morte d'Arthur: Volume 1,Sir Thomas Malory,Science-Fiction & Fantasy
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Science-Fiction & Fantasy
The War of the Worlds,H. G. Wells,Science-Fiction & Fantasy
Peter Pan,J. M. Barrie,Science-Fiction & Fantasy
Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,Science-Fiction & Fantasy
Anthem,Ayn Rand,Science-Fiction & Fantasy
The Time Machine,H. G. Wells,Science-Fiction & Fantasy
Twenty Thousand Leagues under the Sea,Jules Verne,Science-Fiction & Fantasy
2 B R 0 2 B,Kurt Vonnegut,Science-Fiction & Fantasy
The Invisible Man: A Grotesque Romance,H. G. Wells,Science-Fiction & Fantasy
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Science-Fiction & Fantasy
The Eyes Have It,Philip K. Dick,Science-Fiction & Fantasy
A Connecticut Yankee in King Arthur's Court,Mark Twain,Science-Fiction & Fantasy
The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,Science-Fiction & Fantasy
R.U.R. (Rossum's Universal Robots),Karel Čapek,Science-Fiction & Fantasy
A Journey to the Centre of the Earth,Jules Verne,Science-Fiction & Fantasy
The island of Doctor Moreau,H. G. Wells,Science-Fiction & Fantasy
We,Evgenii Ivanovich Zamiatin,Science-Fiction & Fantasy
The Merry Adventures of Robin Hood,Howard Pyle,Science-Fiction & Fantasy
The Romance of Lust: A classic Victorian erotic novel,Anonymous,Sexuality & Erotica
The Kama Sutra of Vatsyayana,Vatsyayana,Sexuality & Erotica
Josefine Mutzenbacher (German),Felix Salten,Sexuality & Erotica
Memoirs of Fanny Hill,John Cleland,Sexuality & Erotica
The Satyricon — Complete,Petronius Arbiter,Sexuality & Erotica
肉蒲團 (Chinese),Yu Li,Sexuality & Erotica
Lady Chatterley's lover,D. H. Lawrence,Sexuality & Erotica
Laura Middleton; Her Brother and her Lover,Anonymous,Sexuality & Erotica
Venus in Furs,Ritter von Leopold Sacher-Masoch,Sexuality & Erotica
The Ladies Delight,Anonymous,Sexuality & Erotica
The Power of Mesmerism,Anonymous,Sexuality & Erotica
中國十大禁書之國色天香 (Chinese),active 16th century Jingsuo Wu,Sexuality & Erotica
"Poesias Eroticas, Burlescas, e Satyricas de M.M. de Barbosa du Bocage
 (Portuguese)",Manuel Maria Barbosa du Bocage,Sexuality & Erotica
Fanny Hill: Memoirs of a Woman of Pleasure,John Cleland,Sexuality & Erotica
"The Convent School; Or, Early Experiences of a Young Flagellant",Rosa Belinda Coote,Sexuality & Erotica
Erotica Romana,Johann Wolfgang von Goethe,Sexuality & Erotica
"Les crimes de l'amour
 (French)",marquis de Sade,Sexuality & Erotica
"The Life and Amours of the Beautiful, Gay and Dashing Kate Percival",Kate Percival,Sexuality & Erotica
"Studies in the Psychology of Sex, Volume 1",Havelock Ellis,Sexuality & Erotica
"The Lovers Assistant; Or, New Art of Love",Henry Fielding and Ovid,Sexuality & Erotica
Manual of Classical Erotology (De figuris Veneris),Unregistered,Sexuality & Erotica
Là-bas,J.-K. Huysmans,Sexuality & Erotica
Plain Facts for Old and Young,John Harvey Kellogg,Sexuality & Erotica
Psychopathia sexualis: With especial reference to contrary sexual instinct,R. von Krafft-Ebing,Sexuality & Erotica
Sex: Avoided subjects Discussed in Plain English,Henry Stanton,Sexuality & Erotica
The Kama Sutra of Vatsyayana,Vatsyayana,Sociology
An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,Sociology
The Communist Manifesto,Karl Marx and Friedrich Engels,Sociology
How the Other Half Lives: Studies Among the Tenements of New York,Jacob A. Riis,Sociology
Southern Horrors: Lynch Law in All Its Phases,Ida B. Wells-Barnett,Sociology
The Red Record,Ida B. Wells-Barnett,Sociology
On the Duty of Civil Disobedience,Henry David Thoreau,Sociology
Utopia,Saint Thomas More,Sociology
Ritual of the Order of the Eastern Star,Order of the Eastern Star. General Grand Chapter,Sociology
The Story of My Life,Helen Keller,Sociology
Argonauts of the Western Pacific,Bronislaw Malinowski,Sociology
The Golden Bough: A Study of Magic and Religion,James George Frazer,Sociology
"The passing of the great race; or, The racial basis of European history",Madison Grant,Sociology
What's Wrong with the World,G. K. Chesterton,Sociology
The Aboriginal Population of the North Coast of California,Sherburne Friend Cook,Sociology
Manifesto of the Communist Party,Karl Marx and Friedrich Engels,Sociology
Maggie: A Girl of the Streets,Stephen Crane,Sociology
Proofs of a Conspiracy against all the Religions and Governments of Europe,John Robison,Sociology
An Inquiry Into the Nature and Causes of the Wealth of Nations,Adam Smith and M. Garnier,Sociology
United States Steel: A Corporation with a Soul,Arundel Cotter,Sociology
"London Labour and the London Poor, Vol. 1",Henry Mayhew,Sociology
"The Tinguian: Social, Religious, and Economic Life of a Philippine Tribe",Fay-Cooper Cole,Sociology
The Rising Tide of Color Against White World-Supremacy,Lothrop Stoddard,Sociology
"Studies in the Psychology of Sex, Volume 1",Havelock Ellis,Sociology
Public Opinion,Walter Lippmann,Sociology
Chess Fundamentals,José Raúl Capablanca,Sports/Hobbies/Motoring
Chess Strategy,Edward Lasker,Sports/Hobbies/Motoring
Mr. Punch's Golf Stories,Unregistered,Sports/Hobbies/Motoring
The Master of Game: The Oldest English Book on Hunting,count of Foix Gaston III Phoebus and of Norwich Edward,Sports/Hobbies/Motoring
Handbook of Wool Knitting and Crochet,Anonymous,Sports/Hobbies/Motoring
"Magic, Stage Illusions and Scientific Diversions, Including Trick Photography",Albert A. Hopkins,Sports/Hobbies/Motoring
Strength and How to Obtain It,Eugen Sandow,Sports/Hobbies/Motoring
"Baseball Joe in the Central League; or, Making Good as a Professional Pitcher",Lester Chadwick,Sports/Hobbies/Motoring
How to Get Strong and How to Stay So,William Blaikie,Sports/Hobbies/Motoring
Boys' Make-at-Home Things,Carolyn Sherwin Bailey and Marian Elizabeth Bailey,Sports/Hobbies/Motoring
"The blue book of chess :  teaching the rudiments of the game, and giving an analysis of all the recognized openings",Howard Staunton,Sports/Hobbies/Motoring
Hunting in Many Lands: The Book of the Boone and Crockett Club,Unregistered,Sports/Hobbies/Motoring
"Bass, Pike, Perch, and Others",James A. Henshall,Sports/Hobbies/Motoring
"The Sportsman: On Hunting, a Sportsman's Manual, Commonly Called Cynegeticus",Xenophon,Sports/Hobbies/Motoring
Things Worth Doing and How To Do Them,Lina Beard and Adelia B. Beard,Sports/Hobbies/Motoring
Twentieth Century Standard Puzzle Book,Unregistered,Sports/Hobbies/Motoring
Tales of Fishes,Zane Grey,Sports/Hobbies/Motoring
The Game,Jack London,Sports/Hobbies/Motoring
"Baseball Joe on the Giants; or, Making Good as a Ball Twirler in the Metropolis",Lester Chadwick,Sports/Hobbies/Motoring
Broad-Sword and Single-Stick,Baron Rowland George Allanson-Winn Headley and Clive Phillipps-Wolley,Sports/Hobbies/Motoring
Three Hundred Things a Bright Boy Can Do,Unregistered,Sports/Hobbies/Motoring
Wrestling and Wrestlers,Jacob Robinson and Sidney Gilpin,Sports/Hobbies/Motoring
Swimming Scientifically Taught: A Practical Manual for Young and Old,Frank Eugen Dalton and Louis C. Dalton,Sports/Hobbies/Motoring
"Knitting, Crochet, and Netting, with Twelve Illustrations",Eléonore Riego de la Branchardière,Sports/Hobbies/Motoring
The Book of Camp-Lore and Woodcraft,Daniel Carter Beard,Sports/Hobbies/Motoring
The Blue Castle: a novel,L. M. Montgomery,Teaching & Education
Hard Times,Charles Dickens,Teaching & Education
The Elements of Style,William Strunk,Teaching & Education
Helps to Latin Translation at Sight,Edmund Luce,Teaching & Education
Democracy and Education: An Introduction to the Philosophy of Education,John Dewey,Teaching & Education
How We Think,John Dewey,Teaching & Education
Emile,Jean-Jacques Rousseau,Teaching & Education
The Art of Public Speaking,Dale Carnegie and J. Berg Esenwein,Teaching & Education
A First Spanish Reader (Spanish),Erwin W. Roessler and Alfred Remy,Teaching & Education
Latin for Beginners,Benjamin L. D'Ooge,Teaching & Education
Boy Scouts Handbook,Boy Scouts of America,Teaching & Education
A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library,Melvil Dewey,Teaching & Education
"How to Tell a Story, and Other Essays",Mark Twain,Teaching & Education
An Elementary Spanish Reader (Spanish),Earl Stanley Harrison,Teaching & Education
Maring (Dangal at Lakas): Ulirang Buhay Tagalog (Tagalog),Aurelio Tolentino,Teaching & Education
Tom Brown's School Days,Thomas Hughes,Teaching & Education
Home Geography for Primary Grades,C. C. Long,Teaching & Education
The Orbis Pictus,Johann Amos Comenius,Teaching & Education
A Treatise on Domestic Economy; For the Use of Young Ladies at Home and at School,Catharine Esther Beecher,Teaching & Education
Forty-Five Years of Digitizing Ebooks: Project Gutenberg's Practices,Gregory B. Newby,Teaching & Education
Talks To Teachers On Psychology; And To Students On Some Of Life's Ideals,William James,Teaching & Education
French Conversation and Composition (French),Harry Vincent Wann,Teaching & Education
"The American Missionary — Volume 49, No. 03, March, 1895",Various,Teaching & Education
An Advanced English Grammar with Exercises,George Lyman Kittredge and Frank Edgar Farley,Teaching & Education
New Latin Grammar,Charles E. Bennett,Teaching & Education
A Room with a View,E. M. Forster,Travel & Geography
The Expedition of Humphry Clinker,T. Smollett,Travel & Geography
The Philippines a Century Hence,José Rizal,Travel & Geography
Childe Harold's Pilgrimage,Baron George Gordon Byron Byron,Travel & Geography
The Innocents Abroad,Mark Twain,Travel & Geography
Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,Travel & Geography
Life on the Mississippi,Mark Twain,Travel & Geography
Around the World in Eighty Days,Jules Verne,Travel & Geography
"Shelters, Shacks and Shanties",Daniel Carter Beard,Travel & Geography
The Travels of Marco Polo — Volume 1,Marco Polo and da Pisa Rusticiano,Travel & Geography
Philippine Folk Tales,Unregistered,Travel & Geography
American Notes,Charles Dickens,Travel & Geography
A General History of the Pyrates:,Daniel Defoe,Travel & Geography
West African Folk-Tales,Unregistered,Travel & Geography
Roughing It,Mark Twain,Travel & Geography
The Sketch-Book of Geoffrey Crayon,Washington Irving,Travel & Geography
Folk-Tales of Bengal,Lal Behari Day,Travel & Geography
Reise in die Aequinoctial-Gegenden des neuen Continents. Band 2. (German),Alexander von Humboldt,Travel & Geography
Daisy Miller: A Study,Henry James,Travel & Geography
"The Philippine Islands, 1493-1898 — Volume 07 of 55",Unregistered,Travel & Geography
The Mysterious Island,Jules Verne,Travel & Geography
"Souvenirs d'un sexagénaire, Tome I (French)",A.-V. Arnault,Travel & Geography
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Jules Verne,Travel & Geography
Voyage au Centre de la Terre (French),Jules Verne,Travel & Geography
The Travels of Sir John Mandeville,Sir John Mandeville,Travel & Geography
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Fiction
"Moby Dick; Or, The Whale",Herman Melville,Fiction
Romeo and Juliet,William Shakespeare,Fiction
Pride and Prejudice,Jane Austen,Fiction
The Scarlet Letter,Nathaniel Hawthorne,Fiction
Alice's Adventures in Wonderland,Lewis Carroll,Fiction
The Complete Works of William Shakespeare,William Shakespeare,Fiction
Middlemarch,George Eliot,Fiction
A Room with a View,E. M. Forster,Fiction
"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,Fiction
A Doll's House : a play,Henrik Ibsen,Fiction
The Blue Castle: a novel,L. M. Montgomery,Fiction
The Enchanted April,Elizabeth Von Arnim,Fiction
The Adventures of Ferdinand Count Fathom — Complete,T. Smollett,Fiction
Cranford,Elizabeth Cleghorn Gaskell,Fiction
The Expedition of Humphry Clinker,T. Smollett,Fiction
"History of Tom Jones, a Foundling",Henry Fielding,Fiction
The Great Gatsby,F. Scott Fitzgerald,Fiction
The Adventures of Roderick Random,T. Smollett,Fiction
Twenty years after,Alexandre Dumas and Auguste Maquet,Fiction
The Picture of Dorian Gray,Oscar Wilde,Fiction
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,Fiction
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,Fiction
Dracula,Bram Stoker,Fiction
The Legend of Sleepy Hollow,Washington Irving,Fiction
